target_id,rel_name,k12_name,k12_accession_1,k12_accession_2,rel_product,k12_product,rel_pathways,k12_pathways,rel_reactions,k12_reactions,rel_url,k12_url
ECB_01279,puuE,puuE,b1302,ECK1297,4-aminobutyrate aminotransferase PuuE,4-aminobutyrate aminotransferase PuuE,"superpathway of arginine and ornithine degradation"" // ""superpathway of arginine, putrescine, and 4-aminobutyrate degradation"" // ""superpathway of 4-aminobutyrate degradation"" // ""4-aminobutyrate degradation II"" // ""4-aminobutyrate degradation","superpathway of L-arginine and L-ornithine degradation"" // ""superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"" // ""superpathway of 4-aminobutanoate degradation"" // ""4-aminobutanoate degradation I"" // ""L-lysine degradation I",GABATRANSAM-RXN // VAGL-RXN,GABATRANSAM-RXN // VAGL-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1479,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6646
ECB_01362,ydbD,ydbD,b1407,ECK1400,DUF2773 domain-containing protein YdbD,DUF2773 domain-containing protein YdbD,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1562,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11310
ECB_00432,ybaK,ybaK,b0481,ECK0475,Cys-tRNA<sup>Pro</sup> and Cys-tRNA<sup>Cys</sup> deacylase,Cys-tRNA<sup>Pro</sup> and Cys-tRNA<sup>Cys</sup> deacylase,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-618,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12454
ECB_03856,tufB,tufA,b3339,ECK3326,elongation factor Tu,translation elongation factor Tu 1,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4113,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11036
ECB_02256,smrB,smrB,b2331,ECK2325,"conserved protein, predicted endonuclease",putative endonuclease SmrB,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2464,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7202
ECB_01323,xisR,xisR,b1346,ECK1343,Rac prophage; excisionase,Rac prophage; excisionase,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1523,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6677
ECB_04262,lplA,lplA,b4386,ECK4378,lipoate&mdash;protein ligase A,lipoate&mdash;protein ligase A,"lipoate biosynthesis and incorporation II"" // ""lipoate salvage I","lipoate salvage I"" // ""lipoate biosynthesis and incorporation II","RXN0-1139 // RXN0-1140 // ""lipoate--GcvH protein ligase"" // ""lipoate&mdash;protein ligase"" // RXN0-5098 // RXN-8655 // ""lipoate adenylyl transferase""","RXN-8655 // RXN0-1139 // RXN0-1140 // ""lipoate--GcvH protein ligase"" // RXN-8654 // RXN-13039 // RXN0-5098",HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4527,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11796
ECB_00336,yaiA,yaiA,b0389,ECK0384,predicted protein,protein YaiA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-522,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11093
ECB_02194,elaA,elaA,b2267,ECK2261,predicted acyltransferase with acyl-CoA N-acyltransferase domain,putative <i>N</i>-acetyltransferase ElaA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2402,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7174
ECB_01767,insL-4,insL-3,b2394,ECK0016,putative transposase insL for insertion sequence IS186,putative IS186/IS421 transposase,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1967,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7255
ECB_01209,ychJ,ychJ,b1233,ECK1228,conserved protein,NTF2-like domain-containing protein YchJ,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1410,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12119
ECB_04256,yjjI,yjjI,b4380,ECK4372,"conserved protein, may be involved in nitrogen metabolism",DUF3029 domain-containing protein YjjI,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4521,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12171
ECB_02212,nuoB,nuoB,b2287,ECK2281,NADH:quinone oxidoreductase I,NADH:quinone oxidoreductase I,"nitrate reduction VIII (dissimilatory)"" // ""NADH to dimethyl sulfoxide electron transfer"" // ""NADH to fumarate electron transfer"" // ""NADH to trimethylamine <i>N</i>-oxide electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer","NADH to cytochrome <i>bo</i> oxidase electron transfer I"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer I"" // ""NADH to dimethyl sulfoxide electron transfer"" // ""nitrate reduction VIII (dissimilatory)"" // ""NADH to fumarate electron transfer"" // ""NADH to hydrogen peroxide electron transfer"" // ""NADH to trimethylamine <i>N</i>-oxide electron transfer",RXN0-5388 // NADH-DEHYDROG-A-RXN,NADH-DEHYDROG-A-RXN // RXN0-5388,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2420,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12083
ECB_02106,rtn,pdeN,b2176,ECK2170,conserved protein,putative c-di-GMP phosphodiesterase PdeN,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2313,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7148
ECB_01140,ymgA,ymgA,b1165,ECK1152,protein involved in biofilm formation,putative two-component system connector protein YmgA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1340,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6605
ECB_00714,modE,modE,b0761,ECK0750,DNA-binding transcriptional dual regulator ModE,ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-912,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6395
ECB_04147,ECB_04147,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4411,NA
ECB_02047,yehK,yehK,b4541,ECK2110,predicted protein,uncharacterized protein YehK,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2254,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10458
ECB_02603,iap,iap,b2753,ECK2748,alkaline phosphatase isozyme conversion protein,alkaline phosphatase isozyme conversion protein,NA,NA,RXN0-3261,RXN0-3261,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2825,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10488
ECB_01054,yceO,yceO,b1058,ECK1043,DUF2770 domain-containing protein YceO,DUF2770 domain-containing protein YceO,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1255,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6555
ECB_04066,yjfY,yjfY,b4199,ECK4195,predicted protein,DUF1471 domain-containing protein YjfY,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4331,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7861
ECB_03032,rpsO,rpsO,b3165,ECK3154,ribosome,ribosome,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3258,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10914
ECB_02005,ECB_02005,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2213,NA
ECB_01006,yccJ,yccJ,b1003,ECK0994,predicted protein,PF13993 family protein YccJ,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1206,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12703
ECB_03421,xylR,xylR,b3569,ECK3558,DNA-binding transcriptional dual regulator XylR,XylR-Xylose DNA-binding transcriptional dual regulator,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3656,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG20253
ECB_03978,yjdN,yjdN,b4107,ECK4100,conserved protein,PF06983 family protein YjdN,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4239,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10712
ECB_01976,yegI,yegI,b2070,ECK2064,conserved protein,protein kinase YegI,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2184,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7109
ECB_01261,yciT,yciT,b1284,ECK1279,putative DNA-binding transcriptional regulator YciT,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1461,NA
ECB_00921,ycaR,ycaR,b0917,ECK0908,conserved protein,UPF0434 family protein YcaR,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1120,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6472
ECB_03876,yjaG,yjaG,b3999,ECK3991,conserved protein,DUF416 domain-containing protein YjaG,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4133,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11916
ECB_03839,yijO,yijO,b3954,ECK3945,predicted DNA-binding transcriptional regulator,putative DNA-binding transcriptional regulator YijO,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4088,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11913
ECB_01872,yecR,yecR,b1904,ECK1903,predicted protein,lipoprotein YecR,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2072,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7035
ECB_00830,ECB_00830,NA,NA,NA,orf,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1028,NA
ECB_04243,bglJ,bglJ,b4366,ECK4356,DNA-binding transcriptional activator BglJ,RcsB-BglJ DNA-binding transcriptional activator,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4505,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7948
ECB_03739,yigZ,yigZ,b3848,ECK3840,predicted elongation factor,IMPACT family member YigZ,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3983,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11484
ECB_01812,yobA,yobA,b1841,ECK1842,conserved protein,CopC domain-containing protein,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2012,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7014
ECB_01743,ydjJ,ydjJ,b1774,ECK1772,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",putative zinc-binding dehydrogenase YdjJ,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1943,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6961
ECB_03691,yigE,yigE,b4482,ECK3809,orf,DUF2233 domain-containing protein YigE,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3935,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11462
ECB_01780,yoaC,yoaC,b1810,ECK1808,predicted protein,DUF1889 domain-containing protein YoaC,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1980,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6994
ECB_02195,rbn,rbn,b2268,ECK2262,ribonuclease BN,ribonuclease BN,tRNA processing,tRNA processing,RXN0-4222 // RXN0-6525 // 3.1.26.11-RXN,3.1.26.11-RXN // RXN0-6525 // RXN0-4222,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2403,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7175
ECB_03545,yicS,yicS,b4555,ECK3652,predicted protein,uncharacterized protein YicS,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3779,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10469
ECB_01729,ynjH,ynjH,b1760,ECK1758,predicted protein,DUF1496 domain-containing protein YnjH,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1929,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6955
ECB_03013,rsmI,rsmI,b3146,ECK3134,16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase,NA,NA,RXN-11637,RXN-11637,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3239,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7641
ECB_03513,yicH,yicH,b3655,ECK3645,conserved protein,AsmA famly protein YicH,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3747,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11684
ECB_01658,ydiL,ydiL,b1689,ECK1687,orf,DUF1870 domain-containing protein YdiL,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1858,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6915
ECB_01243,insA-11,NA,NA,NA,IS1 protein InsA,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1443,NA
ECB_00188,yaeP,yaeP,b4406,ECK0189,conserved protein,UPF0253 family protein YaeP,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-366,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G372
ECB_01573,ydgH,ydgH,b1604,ECK1599,predicted protein,DUF1471 domain-containing protein YdgH,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1771,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6860
ECB_03822,ECB_03822,NA,NA,NA,putative outer membrane lipoprotein,NA,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4071,NA
ECB_03321,dcrB,dcrB,b3472,ECK3456,conserved protein involved in bacteriophage adsorption,periplasmic bacteriophage sensitivity protein DcrB,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3555,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7767
ECB_03235,yhfZ,yhfZ,b3383,ECK3370,conserved protein,putative DNA-binding transcriptional regulator YhfZ,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3469,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7735
ECB_04227,hpaF,NA,NA,NA,5-carboxymethyl-2-hydroxymuconate delta-isomerase,NA,4-hydroxyphenylacetate degradation,NA,5.3.3.10-RXN,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4489,NA
ECB_01726,ynjE,ynjE,b1757,ECK1755,molybdopterin synthase sulfurtransferase,molybdopterin synthase sulfurtransferase,molybdenum cofactor biosynthesis,molybdenum cofactor biosynthesis,RXN-12473,RXN-12473,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1926,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6952
ECB_02175,yfaY,yfaY,b2249,ECK2242,conserved protein,IPR008135 CinA family protein YfaY,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2383,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7162
ECB_00679,ybgD,ybgD,b0719,ECK0708,predicted fimbrial-like adhesin protein,putative fimbrial protein YbgD,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-870,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12359
ECB_02572,hycD,hycD,b2722,ECK2717,"hydrogenase 3"" // ""formate dehydrogenase H","formate dehydrogenase H"" // ""hydrogenase 3","respiration (anaerobic)"" // ""mixed acid fermentation"" // ""hydrogen production V",mixed acid fermentation,"FHLMULTI-RXN // ""hydrogenase""","FHLMULTI-RXN // RXN0-3281 // ""hydrogenase""",HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-2794,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10477
ECB_02998,agaV,agaV,b3133,ECK3121,N-acetyl-galactosamine transporter complex,<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic),N-acetyl-galactosamine degradation,NA,"RXNCQD-10 // TRANS-RXNCQD-10138 // ""protein-N<sup>&pi;</sup>-phosphohistidine-sucrose phosphotransferase"" // RXN-15158 // ""D-mannitol PTS permease"" // TRANS-RXN-161 // TRANS-RXN-167A // TRANS-RXN-169 // ""transport of fructose by PTS"" // 2.7.1.69-RXN",NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3224,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7632
ECB_03387,ldrD,ldrD,b4453,ECK3524,small toxic polypeptide LdrD,small toxic polypeptide LdrD,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-3621,HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-9041
ECB_03806,yiiR,yiiR,b3921,ECK3913,conserved inner membrane protein,DUF805 domain-containing protein YiiR,NA,NA,NA,NA,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-4055,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11875
ECB_01709,nadE,nadE,b1740,ECK1738,"NAD synthetase, NH<sub>3</sub>-dependent","NAD synthetase, NH<sub>3</sub>-dependent","NAD salvage pathway I"" // ""aspartate superpathway"" // ""NAD biosynthesis I (from aspartate)","NAD salvage pathway I (PNC VI cycle)"" // ""NAD salvage pathway II (PNC IV cycle)"" // ""aspartate superpathway"" // ""NAD <i>de novo</i> biosynthesis I (from aspartate)",NAD-SYNTH-GLN-RXN // NAD-SYNTH-NH3-RXN,NAD-SYNTH-GLN-RXN // NAD-SYNTH-NH3-RXN,HTTPS://biocyc.org/gene?orgid=ECOL413997&id=GCQD-1909,HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10663
